year_built;volume_interior;volume_other;lot_size;taxable_value
1941;294;0;142;97500
1979;411;67;203;192500
1975;341;77;197;163000
1987;578;53;1153;588000
1930;390;129;304;137500
1985;294;50;164;125000
1972;398;68;172;195000
1909;573;0;77;75000
1936;942;52;626;425000
1931;200;0;100;62500
1964;268;17;148;138000
1987;448;43;264;220000
1966;199;12;100;81500
1980;400;64;258;268500
1971;361;61;158;153000
1991;274;22;149;180000
1915;418;228;294;160000
1915;303;30;210;125000
1938;389;63;360;258000
1981;354;23;171;129500
1977;358;20;149;170000
1969;518;57;549;280000
1978;475;65;340;325000
1969;313;32;152;108500
1986;293;43;139;165000
1976;351;19;196;157500
1970;370;77;273;200000
1986;314;50;177;170000
1975;277;80;153;131000
1905;291;0;91;95000
1927;781;157;815;230000
1982;315;20;143;147500
1900;376;0;190;115000
1980;155;9;100;75000
1991;274;22;149;180000
1991;275;22;192;190000
1972;377;50;124;150000
1971;389;63;345;255000
1988;292;77;149;138500
1979;365;22;197;159000
1978;477;174;737;412500
1983;355;19;155;130000
1969;313;32;152;148000
1961;373;496;366;245000
1987;295;71;130;145000
1935;339;27;304;145000
1912;1901;16;700;450000
1989;350;140;205;210000
1992;359;98;261;238000
1984;381;51;245;190000
1976;263;24;138;135000
1987;324;127;233;189000
1924;247;40;167;127000
1966;301;20;304;173000
1979;166;11;100;88000
1984;349;50;204;205000
1983;271;20;164;155000
1989;293;68;170;167000
1990;346;114;324;267000
1980;232;13;100;135000
1979;166;11;100;98000
1990;336;16;157;155000
1966;199;20;100;135000
1973;466;27;129;160000
1969;313;32;152;147000
1900;313;0;90;70000
1988;296;75;157;155000
1987;314;88;177;139000
1915;693;59;236;265000
1980;232;15;100;100000
1941;324;15;125;101000
1963;299;17;143;127000
1979;322;27;179;139000
1925;354;126;179;149500
1920;430;155;281;189000
1963;285;30;136;125000
1974;335;60;210;172000
1963;276;14;100;95000
1983;240;59;189;140000
1916;290;16;179;53750
1957;347;25;132;125000
1964;509;51;869;370000
1979;364;28;100;177500
1979;417;79;188;192500
1984;326;20;133;144000
1926;228;12;55;117500
1978;357;18;164;132500
1940;340;95;163;135000
1934;360;44;113;136000
1911;314;0;126;136000
1963;212;33;100;79500
1979;245;16;100;110000
1974;335;60;162;190000
1972;447;67;420;316000
1923;326;0;176;142500
1987;342;139;290;212000
1912;435;80;80;95000
1983;244;57;194;155000
1922;313;31;253;135000
1963;185;24;100;69500
1965;199;13;100;130000
1988;313;102;220;227500
1985;332;19;161;145000
1983;271;20;164;132500
1972;578;101;503;385000
1983;283;20;126;142000
1978;571;68;465;359000
1961;311;29;136;117000
1978;374;83;455;305000
1908;261;26;348;95000
1956;319;46;132;100000
1989;407;133;230;224000
1933;268;15;107;145000
1968;476;111;977;450000
1940;274;15;138;80000
1987;265;56;134;152500
1915;288;22;230;75000
1973;351;25;174;140000
1963;167;20;100;58000
1904;858;40;133;200000
1920;345;57;163;154500
1939;336;18;143;104000
1915;264;0;140;72000
1973;351;25;174;144000
1980;283;49;155;154000
1991;248;15;135;131000
1925;605;99;412;302500
1989;599;101;498;410000
1991;290;78;135;155000
1922;390;0;256;170000
1976;258;26;179;127000
1979;442;147;390;366200
1985;285;46;276;182000
1978;358;26;214;174500
1963;305;25;154;110500
1935;329;33;148;135000
1966;298;60;186;127500
1979;387;22;238;190000
1969;313;32;152;112000
1900;475;0;100;122500
1972;456;56;271;230000
1991;275;22;150;185000
1975;521;102;854;425000
1959;301;21;172;127500
1979;162;12;100;85000
1933;416;0;204;120000
1907;801;51;236;150000
1951;507;16;167;135000
1938;312;0;253;222500
1972;470;51;551;315000
1976;384;31;185;163500
1977;578;116;566;425000
1979;205;13;100;95000
1986;373;88;261;226000
1936;367;30;103;67500
1989;337;120;215;215000
1989;280;0;140;139500
1979;250;14;100;123000
1972;324;44;163;186500
1948;378;21;542;260546
1989;280;0;140;144000
1988;292;77;189;149000
1971;326;31;157;165000
1978;524;111;544;330000
1976;382;23;180;172500
1983;291;20;165;157500
1980;289;49;182;155000
1979;348;20;186;156000
1972;398;68;172;157500
1970;331;24;137;155000
1972;317;23;87;90000
1978;322;27;154;150000
1979;318;24;143;149000
1981;354;23;137;135000
1972;416;27;158;149000
1974;277;27;130;120000
1991;274;22;151;181000
1985;285;17;104;116000
1957;319;21;142;115000
1966;392;61;168;210000
1957;264;20;122;120000
1963;227;35;100;72500
1966;449;72;429;234500
1985;294;52;216;189000
1966;423;59;339;219000
1988;292;66;149;145000
1991;372;119;261;257500
1982;544;156;576;385000
1988;296;75;184;164000
1973;550;102;497;317500
1976;615;121;750;375000
1975;277;80;153;140000
1933;294;46;250;165000
1978;322;27;148;127000
1971;408;47;161;169000
1988;301;100;243;193000
1971;445;73;290;220000
1936;450;30;360;258000
1957;287;51;201;120000
1977;324;18;177;129000
1988;292;71;164;160000
1957;372;65;370;108000
1957;298;17;154;122000
1988;434;55;564;360000
1979;245;13;100;118000
1986;373;88;261;240000
1947;370;19;148;109000
1963;185;24;100;68000
1986;325;60;238;175500
1986;340;44;211;172000
1981;323;25;160;139000
1984;310;20;151;144000
1979;361;20;158;152500
1972;398;28;172;140000
1964;266;17;141;137000
1886;323;0;238;125000
1966;240;15;100;110000
1932;370;33;146;158000
1930;319;0;125;135000
1980;422;52;312;309000
1910;295;68;150;112500
1977;146;14;100;85000
1968;413;62;340;200000
1987;342;109;282;167000
1989;296;70;149;150000
1983;366;19;181;141500
1957;298;17;119;137000
1938;343;0;193;128000
1980;280;31;134;115000
1958;335;69;252;191000
1978;264;20;140;122500
1963;167;20;100;65000
1972;376;52;247;220000
1973;609;27;845;405000
1983;258;25;161;148000
1953;278;20;161;113500
1969;313;32;152;145000
1963;212;33;100;79000
1959;345;26;166;140000
1977;362;20;145;136000
1967;350;21;150;150000
1980;349;31;163;157500
1941;341;39;299;213900
1953;393;19;114;127500
1957;273;21;138;125000
1926;305;28;600;120000
1959;267;19;99;113000
1975;282;27;141;135000
1939;468;23;202;155000
1981;354;23;159;146500
1915;538;144;198;173500
1972;372;103;810;330000
1969;422;67;249;210000
1977;362;20;138;130000
1936;509;0;90;120000
1990;733;139;871;570000
1989;295;78;138;135600
1979;406;60;299;265000
